magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
transmute	[trænzˈmjuːt];[trænsˈmjuːt] v. 改变；（使）变化，变形，变质
revival	__revivial__ [rɪˈvaɪvl] n. （健康、力量或知觉的）恢复，复原；苏醒，复活；复兴；重新使用；重新流行
calculate	__caculate__ [ˈkælkjuleɪt] v. 计算，推算；估计，推测；计划，打算
cooperative	|
neoclassical	[ˏniːəuˈklæsɪkl] a. 新古典主义的
destruction	[dɪˈstrʌkʃn] n. 破坏，毁灭，摧毁
aspire	[əˈspaɪə(r)] v. 向往，渴望，追求；有志于，有抱负
crisis	[ˈkraɪsɪs] n. 危机；紧要关头，关键阶段
water-borne	['wɔ:təbɔ:n] a. 水运的，水传播的，饮水传染的
community	[kəˈmjuːnətɪ] n. 社会；社区；团体；（动植物的）群落；共同体
margin	|
category	[ˈkætəgərɪ] n. 种类；类别；范畴
tropospheric	[trɒpəʊ'sferɪk] a. 对流层的
elusive	[ɪˈluːsɪv] a. 难懂的，难捉摸的；易忘的
occur	[əˈkɜː(r)] vi. 发生；存在
clench	[klentʃ] v. 握紧；咬紧（牙关等）；牢牢抓住
culminate	[ˈkʌlmɪneɪt] vi. （以某种结果）告终；（在某一点）结束
endorse	[ɪnˈdɔːs] vt. 支持，赞同
clip	|
deadline	[ˈdedlaɪn] n. 最后期限
pervasive	__prevasive__ [pəˈveɪsɪv] a. 遍布的，弥漫的
aluminium	[ˏæljəˋmɪnɪəm] n. 铝
companion	[kəmˈpænɪən] n. 共事者；同伴
surroundings	[səˈraʊndɪŋz] n. 周围的事物，环境
sensitive	[ˈsensətɪv] a. 敏感的，灵敏的；神经过敏的，容易生气的；易受伤害的
bureaucracy	[bjuəˈrɔkrəsɪ] n. 官僚主义；官僚机构
audit	|
presentation	[ˏpreznˈteɪʃn] n. 赠送；赠品，礼物；授予，提供；显示；引荐，介绍；报告；表演，上演
approximate	|
overgraze	[ˌəʊvə'ɡreɪz] v. 过度放牧
refusal	[rɪˈfjuːzl] n. 拒绝
postpone	[pəˈspəun] v. 延迟，延期
mysterious	[mɪˈstɪərɪəs] a. 神秘的，诡秘的
divisional	[dɪ'vɪʒənl] a. 部门的
durable	|
exclusive	|
motivate	[ˈməutɪveɪt] vt. 使有动机；激励，激发
equity	[ˈekwətɪ] n. 公平，公正
demand	|
generalise	[ˈdʒenrəlaɪz] v. 概括；推广
solar-powered	['səʊlə paʊəd] a. 由太阳能驱动的
tap	[tæp] v. 轻拍；利用，开发
interest	|
plough	|
condense	[kənˈdens] v. （使）压缩，精简；（使）凝结
alternative	|
shaft	[ʃɑːft] n. 轴，柄，杆；矛柄，把柄；（光的）束，光线；竖井，（电梯的）升降井
federal	[ˈfedərəl] a. 联邦的，联盟的
flask	[flɑːsk] n. 长颈瓶；烧瓶
fabrication	[‚fæbrɪ'keɪʃn] n. 捏造，伪造；制作；构成
devastating	__devastationg__ [ˈdevəsteɪtɪŋ] a. 毁灭性的；强有力的
solve	[sɔlv] vt. 解答；解决
documentation	[ˌdɒkjumenˈteɪʃn] n. 文件证据，文献资料，文件
tariff	[ˈtærɪf] n. 关税，税率；（旅馆、饭店等的）价目表
grateful	[ˈgreɪtfl] a. 感激的，感谢的
grip	|
nourish	[ˈnʌrɪʃ] vt. 养育，滋养；培养（情绪、观点等）
graphology	[græˈfɔlədʒɪ] n. 笔迹学，笔相学
notorious	[nəuˈtɔːrɪəs] a. 著名的，众所周知的；声名狼藉的
unconquerable	[ʌnˈkɒŋkərəbl] a. 不可征服的
strap	|
contrived	[kənˈtraɪvd] a. 不自然的；人为的
sensory	[ˈsensəri] a. 感觉的，感官的
owl	[aul] n. 猫头鹰
dome	[dəum] n. 圆屋顶；穹顶
herdsman	['hɜ:dzmən] n. 牧人
estate	[ɪˈsteɪt] n. 个人财产，（尤指）遗产；土地，地产，（尤指）庄园
sponsor	|
specialist	['speʃəlɪst] n. 专家；专科医生
forgo	[fɔːˈgəu] vt. 放弃，抛弃；作罢
offensive	|
emergency	[ɪˈmɜːdʒənsɪ] n. 紧急情况，突发事件
internist	[ɪnˈtɜ:nɪst] n. 内科医生
metro	[ˈmetrəu] n. 地下铁路
denomination	[dɪˏnɔmɪˈneɪʃn] n. 命名；（货币等的）单位；宗教派别
ratio	[ˈreɪʃɪəu] n. 比，比率
perpetual	[pəˈpetʃuəl] a. 连续不断的；长期的；永久的
trunk	[trʌŋk] n. 树干，躯干；大箱子；象鼻
dolphin	[ˈdɔlfɪn] n. 海豚
bulk	[bʌlk] n. 大量；大批
moribund	[ˈmɔrɪbʌnd] a. 垂死的，即将灭亡的；即将结束的
scrub	|
dimension	[daɪˈmenʃn; dɪˈmenʃn] n. 尺寸，（长、宽、厚、深）度；方面、特点；维、元；[pl.] 面积
exclusively	[ɪk'skluːsɪvlɪ] ad. 专有地，专门地
formula	[ˈfɔːmjulə] n. 公式；配方；准则
evolve	[ɪˈvɔlv] v. （使）逐渐形成；（使）演变，（使）进化
code	|
well-being	[wel 'bi:ɪŋ] n. 安宁；福利
decibel	[ˈdesɪbel] n. 分贝
recreate	[ˌri:krɪ'eɪt] vt. 再现，再创造
curb	|
stake	|
slum	[slʌm] n. 贫民窟，贫民区
attentive	[əˈtentɪv] a. 注意的，专心的；关心的，体贴的；留意的
bewilder	[bɪˈwɪldə(r)] vt. 使迷惑，使昏乱
geometry	[dʒɪˈɔmətrɪ] n. 几何；几何学
rely	[rɪˈlaɪ] vi. 依靠；依赖
refinement	[rɪˈfaɪnmənt] n. 精巧的附件，精制的改良品；精炼；文雅
domination	[ˌdɒmɪ'neɪʃn] n. 控制，统治，支配
mate	|
booklet	[ˈbuklɪt] n. 小册子
convince	[kənˈvɪns] vt. （使）确信；说服
facility	[fəˈsɪlətɪ] n.[pl.] 设备，设施；便利条件
frustrate	[frʌˈstreɪt] vt. 使沮丧；挫败
compose	[kəmˈpəuz] v. 组成，构成；写，创作（乐曲等）；使安定
coffer	[ˈkɔfə(r)] n. 保险箱
apt	[æpt] a. 易于……的；适宜的；敏捷的
cucumber	[ˈkjuːkʌmbə(r)] n. 黄瓜
solution	[səˈluːʃn] n. 解答，解决办法；溶解，溶液
overexploit	[ˏəʊvərɪkˈsplɔɪt] vt. 过度开采
situated	[ˈsɪtʃueɪtɪd] a. 位于……的；处于……境地的
sip	[sɪp] v. 小口地喝；吸吮
security	[sɪˈkjuərətɪ] n. 安全，保障；抵押品；[pl.]证券
robotic	[rəʊ'bɒtɪk] a. 机器人的；像机器人的，呆板面机械的
controversy	[ˈkɔntrəvɜːsɪ] n. 争论，辩论，论战
relay	|
discount	|
survive	[səˈvaɪv] v. 活下来；幸免于；比……活得长，比……长命
dredge	[dredʒ] v. 挖掘；疏浚；挖出，吸出；重提（不愉快或令人难堪的）旧事
homestay	['həʊmsteɪ] n. 在当地居民家居住的时期
antiquated	[ˈæntɪkweɪtɪd] a. 陈旧的，过时的；废弃的
alignment	[əˈlaɪnmənt] n. 排成直线；联盟
statue	[ˈstætʃuː] n. 塑像
investigate	[ɪnˈvestɪgeɪt] v. 调查
incapacitate	[ˏɪnkəˈpæsɪteɪt] vt. 使无能力；使伤残；使不适合；使无资格
guarantee	|
announce	[əˈnauns] vt. 宣布；声称
gene	[dʒiːn] n. 基因
clamp	|
morality	[məˈrælətɪ] n. 道德，美德
emit	[ɪˈmɪt] vt. 发出（光、热、声音等），射出，散发，排放
prior	[ˈpraɪə(r)] a. 在前的，优先的
encapsulate	[ɪnˈkæpsjuleɪt] vt. 装入胶囊；压缩；总结，概述
decouple	[di:'kʌpl] v. 减弱，减少
modem	[ˈməudem] n. 调制解调器
in-favour-of	in favour of 赞同，支持
germinate	[ˈdʒɜːmɪneɪt] v. （使）发芽，（使）生长；发展
technique	[tekˈniːk] n. 技巧，技艺；技术，技能
poisonous	[ˈpɔɪzənəs] a. 有毒的，有害的；恶毒的，邪恶的
shark	[ʃɑːk] n. 鲨鱼；诈骗者
accountancy	[əˈkaʊntənsi] n. 会计工作，会计职业
tune	|
sore	|
immigrant	[ˈɪmɪgrənt] n. 移民；侨民
disintegrate	[dɪsˈɪntɪgreɪt] v. （使）碎裂，瓦解，解体
feature	|
grand	[grænd] a. 宏伟的；大的
embrace	[ɪmˈbreɪs] v./n. 拥抱；包括；欣然接受
utility	[juːˈtɪlətɪ] n. 功用，效用；[常pl.] 公用事业
turbid	[ˈtɜːbɪd] a. 混浊的；紊乱的
hostel	[ˈhɔstl] n. （青年）招待所；学生宿舍
supervisor	[ˈsu:pəvaɪzə(r)] n. 监督人，管理人，指导者；主管
ethical	[ˈeθɪkl] a. （有关）道德的；伦理的
crime	[kraɪm] n. 罪行；犯罪
invasion	[ɪnˈveɪʒn] n. 入侵，侵略
digestive	[dɪˈdʒestɪv] a. 消化的；和消化有关的
ceramic	|
relief	[rɪˈliːf] n. （痛苦等）减轻，解除；援救，救济；安慰；缓和剂
advisable	[ədˈvaɪzəbl] n. 可取的，适当的；明智的
passionate	[ˈpæʃənət] a. 充满激情的，热切的，狂热的
arithmetic	__arthmatic__ [əˈrɪθmətɪk] n. 算术
suspend	[səˈspend] vt. 吊，悬挂；推迟；暂停，中止
grant	|
mediocre	[ˏmiːdɪˈəukə(r)] a. 平庸的，平凡的
inculcate	[ˈɪnkʌlkeɪt] vt. 谆谆教诲，反复灌输
range	|
imagination	[ɪˏmædʒɪˈneɪʃn] n. 想象（力）；想象出来的事物
bistro	[ˈbiːstrəu] n. 小酒馆；小餐馆
solar	[ˈsəulə(r)] a. 太阳的；（利用）太阳能的
accustom	[əˈkʌstəm] vt. 使习惯于
spur	|
conference	[ˈkɔnfərəns] n. （正式）会议
halve	[hɑːv] v. 二等分，减半
clay	[kleɪ] n. 泥土，黏土
filter	|
fate	[feɪt] n. 命运，天数
priority	[praɪˈɔrətɪ] n. 优先（权），重点；优先考虑的事
interval	[ˈɪntəvl] n. 间隔，幕间休息；间距
for-instance	for instance 例如
resource	[rɪˈsɔːs; rɪˈzɔːs] n. [pl.] 资源，财力；应付办法，谋略；应变之才
stiff	|
inevitable	[ɪnˈevɪtəbl] a. 不可避免的，必然（发生）的
shell	|
pedigree	[ˈpedɪgriː] n. 家谱；门第；血统
vibrate	[vaɪˈbreɪt] v. （使）颤动
unconcerned	[ˏʌnkənˈsɜːnd] a. 漠不关心的；不烦恼的
leadership	[ˈli:dəʃɪp] n. 领导，领导层；领导能力
graduate	|
obtain	[əbˈteɪn] v. 获得，得到；通用，流行
undisguised	[ˌʌndɪsˈgaɪzd] a. 无伪装的；坦率的
formality	[fɔːˈmælətɪ] n. 认真遵循规范、礼节等；例行公事；正式手续
mosquito	[məsˈkiːtəu] n. 蚊子
inspect	[ɪnˈspekt] vt. 检查，检阅
mock	|
transcend	[trænˈsend] vt. 超越，胜过，优于
tug	[tʌg] v. 用力拖（或拉）
fancy	|
trek	[trek] vi./n. 牛拉车；艰苦跋涉
form	|
humanity	[hjuːˈmænətɪ] n. 人类，人；人性；人道，仁慈；[pl.] 人文学科
prominence	[ˈprɒmɪnəns] n. 突出，显著；卓越；重要
externally	__exsternally__ [ɪk'stɜ:nəlɪ] ad. 外表上，外形上
glacial	[ˈgleɪsɪəl] a. 冰期的；冰川的；寒冷的，冰冷的；冷若冰霜的
fairly	[feəlɪ] ad. 相当地；公平地；简直，完全地
stockpile	|
leisure	[ˈleʒə(r)] n. 空闲时间；悠闲
disposal	[dɪˈspəuzl] n. 处理，处置；布置，安排
union	[ˈjuːnɪən] n. 协会，工会，同盟；联合，合并
amaze	[əˈmeɪz] vt. 使惊奇，使惊愕
converse	|
resit	[ˏriːˈsɪt] v./n. 重修，补考
insularity	[ˌɪnsjʊ'lærətɪ] n. 岛国（状态）；与外界隔绝的生活状况；（思想、观点等的）褊狭
unquote	[ʌnˈkwəut] v. 结束引语
disfigure	[dɪsˈfɪgə(r)] vt. 使毁容，使变丑
fraud	[frɔːd] n. 诈骗罪；骗子；伪产品，冒牌货
amount	|
spacious	[ˈspeɪʃəs] a. 宽广的，宽敞的
patronage	[ˈpætrənɪdʒ] n. 赞助；支持；光顾；任免权
evidence	[ˈevɪdəns] n. 根据，证据 ；形迹，迹象
chapel	[ˈtʃæpl] n. 小教堂；祈祷室
extension	[ɪkˈstenʃn] n. 伸展；延长部分；电话分机
absolute	[ˈæbsəluːt] a. 完全的，绝对的，纯粹的
overlie	[ˌəʊvə'laɪ] v. 躺在……上面；置于……上面
bacterial	[bæk'tɪərɪəl] a. 细菌的；由细菌引起的
coherent	[kəʊ'hɪərənt] a. 条理清楚的，连贯的；一致的，协调的
fluency	[ˈflu:ənsi] n. 流利，流畅；通顺
bucket	[ˈbʌkɪt] n. 水桶
splendid	[ˈsplendɪd] a. 壮观的，壮丽的，极好的；堂皇的，豪华的；灿烂的，辉煌的
improve	[ɪmˈpruːv] v. 改善，改进
jerk	|
world-wide	__world-wild__ ['wɜ:ldwaɪd] a./ad. 遍及全球的/地
faulty	['fɔ:ltɪ] a. 有错误的，有缺点的；不完美的
constantly	[ˈkɒnstəntli] ad. 经常；不断地
onwards	[ˈɔnwədz] ad. 向前地，前进地
systematic	__systamatic__ [ˌsɪstəˈmætɪk] a. 系统的，体系的
specimen	[ˈspesɪmən] n. 范例，样品；样本，标本
overdraft	[ˈəuvədrɑːft] n. 透支；透支额
overfill	['əʊvə'fɪl] v. 装得太多，装到满溢
glue	|
extraordinary	[ɪkˈstrɔːdnrɪ] a. 不同寻常的，非常的
stick	[stɪk] v. 刺，戳；黏贴，黏住；卡住，陷住
fault	[fɔːlt] n. 缺点，瑕疵，毛病
fruitful	[ˈfruːtfl] a. 多产的，富饶的；富有成效的
notion	[ˈnəuʃn] n. 概念，观念；想法
limb	[lɪm] n. 肢，臂；树枝
beam	|
impede	[ɪmˈpiːd] vt. 阻碍，妨碍
triumphant	[traɪˈʌmfənt] a. 得胜的；得意洋洋的；狂欢的
rendition	[renˈdɪʃn] n. 表演，扮演，演唱；翻译；视觉再现
airtight	[ˈeətaɪt] a. 密闭的；无懈可击的
tramp	|
visible	[ˈvɪzəbl] a. 可见的，看得见的；有形的；明显的，显而易见的
anthropologist	[‚ænθrə'pɒlədʒɪst] n. 人类学家
swamp	|
haphazard	[hæpˈhæzəd] a. 无秩序的，无计划的，组织混乱的
downsize	['daʊnsaɪz] v. 缩小，紧缩
equipment	[ɪˈkwɪpmənt] n. 设备，装备
moral	|
sleek	|
fundamental	|
cope	[kəup] vi. （成功地）应付；（妥善地）处理
counter	|
pattern	|
invoice	|
opponent	|
consistent	__consistant__ [kənˈsɪstənt] a. 一致的，协调的；相符的，相容的
shin	|
outcome	[ˈautkʌm] n. 结果，成果；后果；结局；出口，输出量
accessory	[əkˈsesərɪ] n. 附件，零件；[常pl.] （尤指女性的）服装搭配物，装饰品；[律] 同谋，帮凶
assistance	__asistance__ [əˈsɪstəns] n. 协助，援助
inductive	[ɪnˈdʌktɪv] a. 诱导的，归纳的
tensile	[ˈtensaɪl] a. 拉力的，张力的；可延展的，可伸长的
aquarium	[əˈkweəriəm] n. 养鱼池；玻璃缸；水族馆
joint	|
glimpse	|
enforce	[ɪnˈfɔːs] vt. 实施，执行；强制，迫使
emission	[ɪˈmɪʃn] n. （光、热等的）散发；散发物
impetus	[ˈɪmpɪtəs] n. 推动，促进，刺激；推动力
regulate	__requlate__ [ˈregjuleɪt] v. 管制，控制；调节，校准；调整
veterinarian	[ˌvetərɪˈneəriən] n. 兽医
entire	[ɪnˈtaɪə(r)] a. 全部的，整个的
band	|
summarise	['sʌməraɪz] v. 总结，概括
redevelopment	[ˌri:dɪ'veləpmənt] n. 重新规划；重新建设
fossil	[ˈfɔsl] n. 化石；老顽固
resent	[rɪˈzent] v. 愤恨；对……表示愤恨，感到气愤
bind	[baɪnd] v. 捆绑，系；约束；凝结
conceive	[kənˈsiːv] v. （构）想出，构想，设想；怀孕
reiterate	[riːˈɪtəreɪt] vt. 重复，反复；反复地说，重申
gorilla	[gəˈrɪlə] n. 大猩猩
